INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
Carolina School of Broadcasting,Charlotte,NC,28214,NULL,35.255857,-80.983976,55
Carteret Community College,Morehead City,NC,28557-2989,Southern Association of Colleges and Schools Commission on Colleges,34.724636,-76.756673,1176
Catawba College,Salisbury,NC,28144,Southern Association of Colleges and Schools Commission on Colleges,35.692445,-80.486575,1254
Catawba Valley Community College,Hickory,NC,28602-0699,Southern Association of Colleges and Schools Commission on Colleges,35.699732,-81.28792,4165
South College-Asheville,Asheville,NC,28803,Accrediting Council for Independent Colleges and Schools,35.55373,-82.518811,352
Central Carolina Community College,Sanford,NC,27330-9840,Southern Association of Colleges and Schools Commission on Colleges,35.472316,-79.144506,3656
Central Piedmont Community College,Charlotte,NC,28204,Southern Association of Colleges and Schools Commission on Colleges,35.217774,-80.829796,17922
Chowan University,Murfreesboro,NC,27855,Southern Association of Colleges and Schools Commission on Colleges,36.436258,-77.099141,1514
Cleveland Community College,Shelby,NC,28152-6224,Southern Association of Colleges and Schools Commission on Colleges,35.277791,-81.491716,1799
Coastal Carolina Community College,Jacksonville,NC,28546-6816,Southern Association of Colleges and Schools Commission on Colleges,34.771687,-77.384785,3930
Craven Community College,New Bern,NC,28562-4900,Southern Association of Colleges and Schools Commission on Colleges,35.111516,-77.102232,2840
Davidson County Community College,Thomasville,NC,27360-7385,Southern Association of Colleges and Schools Commission on Colleges,35.865541,-80.181739,3127
Davidson College,Davidson,NC,28035,Southern Association of Colleges and Schools Commission on Colleges,35.500006,-80.845236,1779
Duke University,Durham,NC,27708,Southern Association of Colleges and Schools Commission on Colleges,36.00159,-78.94226,6501
Durham Technical Community College,Durham,NC,27703-5023,Southern Association of Colleges and Schools Commission on Colleges,35.975202,-78.880735,3767
East Carolina University,Greenville,NC,27858-4353,Southern Association of Colleges and Schools Commission on Colleges,35.606347,-77.366199,21697
Edgecombe Community College,Tarboro,NC,27886,Southern Association of Colleges and Schools Commission on Colleges,35.879867,-77.571786,2002
Elizabeth City State University,Elizabeth City,NC,27909,Southern Association of Colleges and Schools Commission on Colleges,36.273539,-76.210063,1505
Elon University,Elon,NC,27244-2010,Southern Association of Colleges and Schools Commission on Colleges,36.104149,-79.505632,5903
Fayetteville Technical Community College,Fayetteville,NC,28303-0236,Southern Association of Colleges and Schools Commission on Colleges,35.068313,-78.924515,9667
Fayetteville State University,Fayetteville,NC,28301-4298,Southern Association of Colleges and Schools Commission on Colleges,35.072485,-78.894709,5087
Forsyth Technical Community College,Winston-Salem,NC,27103-5197,Southern Association of Colleges and Schools Commission on Colleges,36.06854,-80.272215,7677
Gardner-Webb University,Boiling Springs,NC,28017-0997,Southern Association of Colleges and Schools Commission on Colleges,35.24732,-81.668141,2626
Gaston College,Dallas,NC,28034,Southern Association of Colleges and Schools Commission on Colleges,35.312015,-81.189481,5199
Greensboro College,Greensboro,NC,27401-1875,Southern Association of Colleges and Schools Commission on Colleges,36.071082,-79.800232,758
Guilford College,Greensboro,NC,27410-4108,Southern Association of Colleges and Schools Commission on Colleges,36.092563,-79.888848,1768
Guilford Technical Community College,Jamestown,NC,27282,Southern Association of Colleges and Schools Commission on Colleges,35.9972,-79.921811,11290
Halifax Community College,Weldon,NC,27890,Southern Association of Colleges and Schools Commission on Colleges,36.427712,-77.617681,942
Haywood Community College,Clyde,NC,28721-9901,Southern Association of Colleges and Schools Commission on Colleges,35.525905,-82.927918,1636
Heritage Bible College,Dunn,NC,28334,Transnational Association of Christian Colleges and Schools,35.268445,-78.613355,65
High Point University,High Point,NC,27268,Southern Association of Colleges and Schools Commission on Colleges,35.972674,-79.994545,4362
Isothermal Community College,Spindale,NC,28160-0804,Southern Association of Colleges and Schools Commission on Colleges,35.336728,-81.911857,1267
James Sprunt Community College,Kenansville,NC,28349,Southern Association of Colleges and Schools Commission on Colleges,34.946802,-77.977639,806
John Wesley University,High Point,NC,27265-3115,Association for Bibical Higher Educaiton,35.994093,-79.997065,125
Johnson C Smith University,Charlotte,NC,28216-5398,Southern Association of Colleges and Schools Commission on Colleges,35.243384,-80.854842,1371
Johnston Community College,Smithfield,NC,27577-2350,Southern Association of Colleges and Schools Commission on Colleges,35.501418,-78.332293,2855
Lees-McRae College,Banner Elk,NC,28604,Southern Association of Colleges and Schools Commission on Colleges,36.162777,-81.873919,1032
Lenoir Community College,Kinston,NC,28502-0188,Southern Association of Colleges and Schools Commission on Colleges,35.234405,-77.571532,1754
Lenoir-Rhyne University,Hickory,NC,28601,Southern Association of Colleges and Schools Commission on Colleges,35.73904,-81.326161,1412
Leons Beauty School Inc,Greensboro,NC,27403,National Accrediting Commission of Career Arts and Sciences,36.057502,-79.823185,130
Livingstone College,Salisbury,NC,28144,Southern Association of Colleges and Schools Commission on Colleges,35.670743,-80.484459,1261
Louisburg College,Louisburg,NC,27549-2399,Southern Association of Colleges and Schools Commission on Colleges,36.105393,-78.299709,704
Mars Hill University,Mars Hill,NC,28754,Southern Association of Colleges and Schools Commission on Colleges,35.825858,-82.550859,1353
Martin Community College,Williamston,NC,27892-9988,Southern Association of Colleges and Schools Commission on Colleges,35.836254,-77.095389,351
Mayland Community College,Spruce Pine,NC,28777,Southern Association of Colleges and Schools Commission on Colleges,35.934475,-82.016988,674
McDowell Technical Community College,Marion,NC,28752-8728,Southern Association of Colleges and Schools Commission on Colleges,35.65622,-81.960896,682
Mercy School of Nursing,Charlotte,NC,28203,Accreditation Commission for Education in Nursing,35.132476,-80.904762,49
Meredith College,Raleigh,NC,27607-5298,Southern Association of Colleges and Schools Commission on Colleges,35.797197,-78.689175,1651
Methodist University,Fayetteville,NC,28311-1420,Southern Association of Colleges and Schools Commission on Colleges,35.137854,-78.875024,2173
Miller-Motte College-Wilmington,Wilmington,NC,28405,Accrediting Council for Independent Colleges and Schools,34.225965,-77.881548,3065
Mitchell Community College,Statesville,NC,28677-5293,Southern Association of Colleges and Schools Commission on Colleges,35.782814,-80.894083,2168
Mitchells Hairstyling Academy-Wilson,Wilson,NC,27893,National Accrediting Commission of Career Arts and Sciences,35.72171,-77.951093,29
Regina's College of Beauty-Monroe,Monroe,NC,28110,NULL,34.991683,-80.543805,41
Montgomery Community College,Troy,NC,27371,Southern Association of Colleges and Schools Commission on Colleges,35.367107,-79.870005,588
Montreat College,Montreat,NC,28757-1267,Southern Association of Colleges and Schools Commission on Colleges,35.645844,-82.297522,724
University of Mount Olive,Mount Olive,NC,28365-0919,Southern Association of Colleges and Schools Commission on Colleges,35.206314,-78.071265,3152
College of Wilmington,Wilmington,NC,28403,Council on Occupational Education,34.21396,-77.906111,255
Nash Community College,Rocky Mount,NC,27804,Southern Association of Colleges and Schools Commission on Colleges,35.976771,-77.896536,2432
North Carolina A & T State University,Greensboro,NC,27411,Southern Association of Colleges and Schools Commission on Colleges,36.076737,-79.770152,9036
University of North Carolina at Asheville,Asheville,NC,28804-8510,Southern Association of Colleges and Schools Commission on Colleges,35.616618,-82.565259,3505
University of North Carolina at Chapel Hill,Chapel Hill,NC,27599,Southern Association of Colleges and Schools Commission on Colleges,35.912165,-79.050969,17951
University of North Carolina at Charlotte,Charlotte,NC,28223-0001,Southern Association of Colleges and Schools Commission on Colleges,35.306834,-80.73579,22686
University of North Carolina at Greensboro,Greensboro,NC,27402-6170,Southern Association of Colleges and Schools Commission on Colleges,36.067503,-79.809844,15158
North Carolina Central University,Durham,NC,27707,Southern Association of Colleges and Schools Commission on Colleges,35.974237,-78.898602,5797
University of North Carolina School of the Arts,Winston-Salem,NC,27127-2738,Southern Association of Colleges and Schools Commission on Colleges,36.07482,-80.236625,850
North Carolina State University at Raleigh,Raleigh,NC,27695-7001,Southern Association of Colleges and Schools Commission on Colleges,35.785111,-78.674517,22458
North Carolina Wesleyan College,Rocky Mount,NC,27804,Southern Association of Colleges and Schools Commission on Colleges,36.017443,-77.774231,2112
University of North Carolina Wilmington,Wilmington,NC,28403-5963,Southern Association of Colleges and Schools Commission on Colleges,34.225223,-77.875527,12971
Pamlico Community College,Grantsboro,NC,28529,Southern Association of Colleges and Schools Commission on Colleges,35.138826,-76.840785,398
William Peace University,Raleigh,NC,27604-1194,Southern Association of Colleges and Schools Commission on Colleges,35.789105,-78.636793,1038
University of North Carolina at Pembroke,Pembroke,NC,28372-1510,Southern Association of Colleges and Schools Commission on Colleges,34.687231,-79.201895,5508
Pfeiffer University,Misenheimer,NC,28109,Southern Association of Colleges and Schools Commission on Colleges,35.484696,-80.283168,909
Piedmont International University,Winston-Salem,NC,27101-5025,Transnational Association of Christian Colleges and Schools,36.088839,-80.249121,342
Piedmont Community College,Roxboro,NC,27573,Southern Association of Colleges and Schools Commission on Colleges,36.431674,-78.980607,1020
Pitt Community College,Winterville,NC,28590,Southern Association of Colleges and Schools Commission on Colleges,35.550591,-77.407203,7453
Queens University of Charlotte,Charlotte,NC,28274-0001,Southern Association of Colleges and Schools Commission on Colleges,35.188929,-80.832227,1551
Randolph Community College,Asheboro,NC,27205,Southern Association of Colleges and Schools Commission on Colleges,35.672899,-79.827879,2361
Richmond Community College,Hamlet,NC,28345-1189,Southern Association of Colleges and Schools Commission on Colleges,34.902325,-79.711514,1813
Mid-Atlantic Christian University,Elizabeth City,NC,27909-4054,Southern Association of Colleges and Schools Commission on Colleges,36.303765,-76.217496,203
Roanoke-Chowan Community College,Ahoskie,NC,27910-9522,Southern Association of Colleges and Schools Commission on Colleges,36.323459,-77.025042,565
Robeson Community College,Lumberton,NC,28360,Southern Association of Colleges and Schools Commission on Colleges,34.6213,-79.0044,1636
Rockingham Community College,Wentworth,NC,27375-0038,Southern Association of Colleges and Schools Commission on Colleges,36.388685,-79.75835,1424
Rowan-Cabarrus Community College,Salisbury,NC,28146,Southern Association of Colleges and Schools Commission on Colleges,35.639388,-80.48181,4149
Saint Augustine's University,Raleigh,NC,27610-2298,Southern Association of Colleges and Schools Commission on Colleges,35.785032,-78.621806,810
Salem College,Winston-Salem,NC,27101,Southern Association of Colleges and Schools Commission on Colleges,36.087531,-80.241357,922
Sampson Community College,Clinton,NC,28328-0318,Southern Association of Colleges and Schools Commission on Colleges,34.99086,-78.361136,1004
Sandhills Community College,Pinehurst,NC,28374,Southern Association of Colleges and Schools Commission on Colleges,35.217076,-79.4163,2831
Shaw University,Raleigh,NC,27601,Southern Association of Colleges and Schools Commission on Colleges,35.771181,-78.637693,1505
Sherrill's University of Barber & Cosmetology,Raleigh,NC,27610-2431,Council on Occupational Education,35.77965,-78.605267,99
Paul Mitchell the School-Fayetteville,Fayetteville,NC,28303-5364,National Accrediting Commission of Career Arts and Sciences,35.070291,-78.958787,204
St Andrews University,Laurinburg,NC,28352,Southern Association of Colleges and Schools Commission on Colleges,34.746283,-79.478385,620
Empire Beauty School-Matthews,Matthews,NC,28105,NULL,35.119797,-80.700592,52
Southeastern Community College,Whiteville,NC,28472-5422,Southern Association of Colleges and Schools Commission on Colleges,34.33155,-78.785243,1044
Southwestern Community College,Sylva,NC,28779,Southern Association of Colleges and Schools Commission on Colleges,35.348575,-83.207129,1760
Stanly Community College,Albemarle,NC,28001,Southern Association of Colleges and Schools Commission on Colleges,35.339846,-80.236005,2141
Southeastern Baptist Theological Seminary,Wake Forest,NC,27587-1889,Southern Association of Colleges and Schools Commission on Colleges,35.98097,-78.513855,417
Surry Community College,Dobson,NC,27017-8432,Southern Association of Colleges and Schools Commission on Colleges,36.384334,-80.716834,2171
Alamance Community College,Graham,NC,27253-8000,Southern Association of Colleges and Schools Commission on Colleges,36.066683,-79.357657,3787
Tri-County Community College,Murphy,NC,28906,Southern Association of Colleges and Schools Commission on Colleges,35.067021,-83.966476,700
Vance-Granville Community College,Henderson,NC,27537,Southern Association of Colleges and Schools Commission on Colleges,36.323421,-78.487283,2322
Wake Forest University,Winston-Salem,NC,27106,Southern Association of Colleges and Schools Commission on Colleges,36.135301,-80.279004,4866
Wake Technical Community College,Raleigh,NC,27603-5696,Southern Association of Colleges and Schools Commission on Colleges,35.650151,-78.706126,19625
Warren Wilson College,Swannanoa,NC,28778-2099,Southern Association of Colleges and Schools Commission on Colleges,35.611762,-82.441097,749
Watts School of Nursing,Durham,NC,27705-2505,Accreditation Commission for Education in Nursing,36.027649,-78.9413,144
Wayne Community College,Goldsboro,NC,27534-8002,Southern Association of Colleges and Schools Commission on Colleges,35.403279,-77.944887,2639
Western Piedmont Community College,Morganton,NC,28655-4511,Southern Association of Colleges and Schools Commission on Colleges,35.722876,-81.687345,1562
Wilkes Community College,Wilkesboro,NC,28697,Southern Association of Colleges and Schools Commission on Colleges,36.136572,-81.184468,1832
Wilson Community College,Wilson,NC,27893-3310,Southern Association of Colleges and Schools Commission on Colleges,35.731096,-77.892872,1146
Wingate University,Wingate,NC,28174-0159,Southern Association of Colleges and Schools Commission on Colleges,34.979384,-80.444465,2015
Carolina Christian College,Winston Salem,NC,27105,Association for Bibical Higher Educaiton,36.148443,-80.192792,31
Winston Salem Barber School,Winston-Salem,NC,27127,Accrediting Commission of Career Schools and Colleges,36.066705,-80.260574,51
Winston-Salem State University,Winston-Salem,NC,27110-0001,Southern Association of Colleges and Schools Commission on Colleges,36.089197,-80.224905,4647
Western Carolina University,Cullowhee,NC,28723-9646,Southern Association of Colleges and Schools Commission on Colleges,35.311102,-83.182104,8601
Rasmussen College-North Dakota,Fargo,ND,58103-7196,North Central Association of Colleges and Schools The Higher Learning Commission,46.848362,-96.848715,596
Bismarck State College,Bismarck,ND,58506-5587,North Central Association of Colleges and Schools The Higher Learning Commission,46.820651,-100.817975,3175
Dickinson State University,Dickinson,ND,58601-4896,North Central Association of Colleges and Schools The Higher Learning Commission,46.882677,-102.800511,1134
Nueta Hidatsa Sahnish College,New Town,ND,58763,North Central Association of Colleges and Schools The Higher Learning Commission,47.983311,-102.472814,206
Josef's School of Hair Design Inc-Grand Forks,Grand Forks,ND,58201,National Accrediting Commission of Career Arts and Sciences,47.900469,-97.044288,43
Headquarters Academy of Hair Design Inc,Minot,ND,58701-3914,National Accrediting Commission of Career Arts and Sciences,48.23524,-101.293402,43
University of Jamestown,Jamestown,ND,58405,North Central Association of Colleges and Schools The Higher Learning Commission,46.915402,-98.697209,861
Josef's School of Hair Design Inc-Fargo Downtown,Fargo,ND,58102,National Accrediting Commission of Career Arts and Sciences,46.876136,-96.789209,44
Lake Region State College,Devils Lake,ND,58301-1598,North Central Association of Colleges and Schools The Higher Learning Commission,48.127948,-98.869034,663
Cankdeska Cikana Community College,Fort Totten,ND,58335,North Central Association of Colleges and Schools The Higher Learning Commission,47.978122,-98.990801,175
University of Mary,Bismarck,ND,58504,North Central Association of Colleges and Schools The Higher Learning Commission,46.724893,-100.752386,1875
Mayville State University,Mayville,ND,58257-1299,North Central Association of Colleges and Schools The Higher Learning Commission,47.504671,-97.322545,819
Minot State University,Minot,ND,58707,North Central Association of Colleges and Schools The Higher Learning Commission,48.246877,-101.300624,2565
Moler Barber College,Fargo,ND,58103-1805,Accrediting Commission of Career Schools and Colleges,46.873965,-96.790826,8
University of North Dakota,Grand Forks,ND,58202-8193,North Central Association of Colleges and Schools The Higher Learning Commission,47.919774,-97.073451,10809
North Dakota State College of Science,Wahpeton,ND,58076-0002,North Central Association of Colleges and Schools The Higher Learning Commission,46.275964,-96.607896,2095
Dakota College at Bottineau,Bottineau,ND,58318-1198,North Central Association of Colleges and Schools The Higher Learning Commission,48.832505,-100.441103,411
North Dakota State University-Main Campus,Fargo,ND,58108-6050,North Central Association of Colleges and Schools The Higher Learning Commission,46.894523,-96.805689,11719
Williston State College,Williston,ND,58801,North Central Association of Colleges and Schools The Higher Learning Commission,48.158603,-103.613066,738
JZ Trend Academy Paul Mitchell Partner School,Bismarck,ND,58504,National Accrediting Commission of Career Arts and Sciences,46.78282,-100.77358,36
Sitting Bull College,Fort Yates,ND,58538-9721,North Central Association of Colleges and Schools The Higher Learning Commission,46.033384,-100.744844,240
Trinity Bible College and Graduate School,Ellendale,ND,58436-7105,Association for Bibical Higher Educaiton,46.001037,-98.517906,186
Turtle Mountain Community College,Belcourt,ND,58316,North Central Association of Colleges and Schools The Higher Learning Commission,48.883758,-99.750836,478
United Tribes Technical College,Bismarck,ND,58504,North Central Association of Colleges and Schools The Higher Learning Commission,46.768773,-100.760705,373
Valley City State University,Valley City,ND,58072,North Central Association of Colleges and Schools The Higher Learning Commission,46.919144,-98.001762,974
ETI Technical College,Niles,OH,44446-4398,Accrediting Commission of Career Schools and Colleges,41.204491,-80.739676,124
The Art Institute of Cincinnati-AIC College of Design,Cincinnati,OH,45246-3322,Accrediting Commission of Career Schools and Colleges,39.285831,-84.451296,35
Miami-Jacobs Career College-Independence,Independence,OH,44131,Accrediting Council for Independent Colleges and Schools,41.39451,-81.646681,181
Herzing University-Akron,Akron,OH,44306-3931,North Central Association of Colleges and Schools The Higher Learning Commission,41.02817,-81.493109,426
University of Akron Main Campus,Akron,OH,44325-4702,North Central Association of Colleges and Schools The Higher Learning Commission,41.077768,-81.510328,17240
Akron School of Practical Nursing,Akron,OH,44313,Council on Occupational Education,41.066218,-81.514573,37
University of Akron Wayne College,Orrville,OH,44667,North Central Association of Colleges and Schools The Higher Learning Commission,40.861569,-81.790022,1218
Allegheny Wesleyan College,Salem,OH,44460-9598,Association for Bibical Higher Educaiton,40.867236,-80.860091,63
Antonelli College-Cincinnati,Cincinnati,OH,45202,Accrediting Commission of Career Schools and Colleges,39.103991,-84.510764,147
Apollo Career Center,Lima,OH,45806-1497,Council on Occupational Education,40.69222,-84.14971,432
Art Academy of Cincinnati,Cincinnati,OH,45202-1706,National Association of Schools of Arts and Design,39.108382,-84.497573,198
Ashland County-West Holmes Career Center,Ashland,OH,44805-9377,Council on Occupational Education,40.772463,-82.272726,41
Ashland University,Ashland,OH,44805,North Central Association of Colleges and Schools The Higher Learning Commission,40.860987,-82.320621,3218
Ashtabula County Technical and Career Campus,Jefferson,OH,44047,Accrediting Commission of Career Schools and Colleges,41.745865,-80.73451,118
Auburn Career Center,Concord Twp,OH,44077,Council on Occupational Education,41.649238,-81.243798,194
Aultman College of Nursing and Health Sciences,Canton,OH,44710-1797,North Central Association of Colleges and Schools The Higher Learning Commission,40.796865,-81.404182,362
Baldwin Wallace University,Berea,OH,44017-2088,North Central Association of Colleges and Schools The Higher Learning Commission,41.373938,-81.849112,3300
Belmont College,Saint Clairsville,OH,43950,North Central Association of Colleges and Schools The Higher Learning Commission,40.07695,-80.964901,890
Bluffton University,Bluffton,OH,45817-2104,North Central Association of Colleges and Schools The Higher Learning Commission,40.896998,-83.897678,833
Fortis College-Ravenna,Ravenna,OH,44266,Accrediting Council for Independent Colleges and Schools,41.180935,-81.250139,170
Bowling Green State University-Firelands,Huron,OH,44839-9791,North Central Association of Colleges and Schools The Higher Learning Commission,41.39808,-82.594489,1464
Bowling Green State University-Main Campus,Bowling Green,OH,43403,North Central Association of Colleges and Schools The Higher Learning Commission,41.377036,-83.637531,13900
Bryant & Stratton College-Parma,Parma,OH,44130-3151,Middle States Commission on Higher Education,41.40511,-81.783618,436
Buckeye Hills Career Center,Rio Grande,OH,45674-0157,Council on Occupational Education,38.893108,-82.391574,149
Butler Tech-D Russel Lee Career Center,Hamilton,OH,45011,Council on Occupational Education,39.408939,-84.49281,295
Canton City Schools Adult Career and Technical Education,Canton,OH,44705,Council on Occupational Education,40.82576,-81.325481,109
Capital University,Columbus,OH,43209-2394,North Central Association of Colleges and Schools The Higher Learning Commission,39.954875,-82.937867,2654
Carousel Beauty College-Middletown,Middletown,OH,45044,NULL,39.503851,-84.354709,13
Carousel Beauty College-Dayton,Dayton,OH,45402,NULL,39.761351,-84.189997,24
Carousel of Miami Valley Beauty College,Huber Heights,OH,45424,NULL,39.867502,-84.140011,29
Case Western Reserve University,Cleveland,OH,44106,North Central Association of Colleges and Schools The Higher Learning Commission,41.500812,-81.605769,5039
Cedarville University,Cedarville,OH,45314-0601,North Central Association of Colleges and Schools The Higher Learning Commission,39.750338,-83.812098,3061
Central Ohio Technical College,Newark,OH,43055-1767,North Central Association of Colleges and Schools The Higher Learning Commission,40.069314,-82.447441,2716
Central School of Practical Nursing,Independence,OH,44131-0000,Accrediting Bureau of Health Education Schools,41.39734,-81.658061,113
Central State University,Wilberforce,OH,45384-1004,North Central Association of Colleges and Schools The Higher Learning Commission,39.716465,-83.876795,1785
Chatfield College,Saint Martin,OH,45118-9705,North Central Association of Colleges and Schools The Higher Learning Commission,39.210369,-83.887153,261
Choffin Career  and Technical Center,Youngstown,OH,44503-1600,Accrediting Commission of Career Schools and Colleges,41.100847,-80.644393,119
The Christ College of Nursing and Health Sciences,Cincinnati,OH,45219-2989,North Central Association of Colleges and Schools The Higher Learning Commission,39.12072,-84.509237,737
Cincinnati Christian University,Cincinnati,OH,45204-3200,North Central Association of Colleges and Schools The Higher Learning Commission,39.112396,-84.554752,565
Cincinnati College of Mortuary Science,Cincinnati,OH,45224-1462,North Central Association of Colleges and Schools The Higher Learning Commission,39.207578,-84.505896,100
University of Cincinnati-Main Campus,Cincinnati,OH,45221-0063,North Central Association of Colleges and Schools The Higher Learning Commission,39.131159,-84.51428,24066
Cincinnati State Technical and Community College,Cincinnati,OH,45223-2690,North Central Association of Colleges and Schools The Higher Learning Commission,39.150569,-84.535229,7983
University of Cincinnati-Clermont College,Batavia,OH,45103,North Central Association of Colleges and Schools The Higher Learning Commission,39.080645,-84.19437,2590
University of Cincinnati-Blue Ash College,Blue Ash,OH,45236-1096,North Central Association of Colleges and Schools The Higher Learning Commission,39.232995,-84.400438,4779
Ohio Christian University,Circleville,OH,43113-9487,North Central Association of Colleges and Schools The Higher Learning Commission,39.610895,-82.905986,3485
Clark State Community College,Springfield,OH,45501-0570,North Central Association of Colleges and Schools The Higher Learning Commission,39.89634,-83.799288,4495
Scott College of Cosmetology,Wheeling,WV,26003,National Accrediting Commission of Career Arts and Sciences,40.064573,-80.721691,58
Cleveland Institute of Art,Cleveland,OH,44106-1710,North Central Association of Colleges and Schools The Higher Learning Commission,41.50988,-81.602121,600
Cleveland Institute of Dental-Medical Assistants-Cleveland,Cleveland,OH,44115-2285,Accrediting Commission of Career Schools and Colleges,41.500642,-81.671747,90
Cleveland Institute of Music,Cleveland,OH,44106-1776,National Association of Schools of Music,41.512444,-81.608878,239
Cleveland State University,Cleveland,OH,44115-2214,North Central Association of Colleges and Schools The Higher Learning Commission,41.502918,-81.673052,11658
Columbiana County Career and Technical Center,Lisbon,OH,44432,Council on Occupational Education,40.764237,-80.748402,87
Bradford School,Columbus,OH,43219,Accrediting Council for Independent Colleges and Schools,40.023505,-82.911152,410
Columbus College of Art and Design,Columbus,OH,43215,North Central Association of Colleges and Schools The Higher Learning Commission,39.965767,-82.988548,1107
Columbus State Community College,Columbus,OH,43215,North Central Association of Colleges and Schools The Higher Learning Commission,39.969976,-82.987654,12643
Cuyahoga Community College District,Cleveland,OH,44115-2878,North Central Association of Colleges and Schools The Higher Learning Commission,41.493981,-81.66964,13590
Davis College,Toledo,OH,43623,North Central Association of Colleges and Schools The Higher Learning Commission,41.693064,-83.629891,159
Dayton Barber College,Miamisburg,OH,45342,National Accrediting Commission of Career Arts and Sciences,39.62815,-84.22316,48
University of Dayton,Dayton,OH,45469,North Central Association of Colleges and Schools The Higher Learning Commission,39.73686,-84.173662,8556
Defiance College,Defiance,OH,43512,North Central Association of Colleges and Schools The Higher Learning Commission,41.300336,-84.356596,658
Denison University,Granville,OH,43023-0713,North Central Association of Colleges and Schools The Higher Learning Commission,40.072582,-82.520625,2254
Edison State Community College,Piqua,OH,45356-9239,North Central Association of Colleges and Schools The Higher Learning Commission,40.157997,-84.212558,1768
EHOVE Career Center,Milan,OH,44846,Council on Occupational Education,41.333161,-82.62922,355
Bryant & Stratton College-Cleveland,Cleveland,OH,44115,Middle States Commission on Higher Education,41.50366,-81.666301,408
Regency Beauty Institute-Cleveland,Willoughby,OH,44094,NULL,41.609759,-81.524375,64
The University of Findlay,Findlay,OH,45840-3653,North Central Association of Colleges and Schools The Higher Learning Commission,41.05441,-83.652067,2882
Franklin University,Columbus,OH,43215-5399,North Central Association of Colleges and Schools The Higher Learning Commission,39.958402,-82.991825,4049
Gerbers Akron Beauty School,Akron,OH,44313,National Accrediting Commission of Career Arts and Sciences,41.128074,-81.606348,62
Gods Bible School and College,Cincinnati,OH,45202-6838,North Central Association of Colleges and Schools The Higher Learning Commission,39.115484,-84.506036,244
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,45220-2489,North Central Association of Colleges and Schools The Higher Learning Commission,39.140162,-84.523399,392
Great Oaks Career Campuses,Cincinnati,OH,45241,Council on Occupational Education,39.29019,-84.413577,282
Hannah E Mullins School of Practical Nursing,Salem,OH,44460-2906,Accreditation Commission for Education in Nursing,40.907349,-80.844453,43
Adult and Community Education-Hudson,Columbus,OH,43211,Council on Occupational Education,40.012851,-82.980603,115
Hebrew Union College-Jewish Institute of Religion,New York,NY,10012-1186,Middle States Commission on Higher Education,40.728938,-73.994499,NULL
Heidelberg University,Tiffin,OH,44883-2462,North Central Association of Colleges and Schools The Higher Learning Commission,41.114337,-83.166581,1011
Hiram College,Hiram,OH,44234-0067,North Central Association of Colleges and Schools The Higher Learning Commission,41.312294,-81.142886,1063
Hobart Institute of Welding Technology,Troy,OH,45373-2400,Accrediting Commission of Career Schools and Colleges,40.050541,-84.21907,371
Hocking College,Nelsonville,OH,45764,North Central Association of Colleges and Schools The Higher Learning Commission,39.443298,-82.221749,3161
American School of Technology,Columbus,OH,43229,NULL,40.061194,-82.971349,153
Ross Medical Education Center-Cincinnati,Cincinnati,OH,45246,Accrediting Bureau of Health Education Schools,39.291916,-84.485695,126
International College of Broadcasting,Dayton,OH,45431,Accrediting Commission of Career Schools and Colleges,39.764986,-84.137499,62
ITT Technical Institute-Dayton,Dayton,OH,45414-3877,NULL,39.834551,-84.184899,262
Eastern Gateway Community College,Steubenville,OH,43952-3598,North Central Association of Colleges and Schools The Higher Learning Commission,40.376175,-80.672408,2176
John Carroll University,University Heights,OH,44118-4581,North Central Association of Colleges and Schools The Higher Learning Commission,41.488978,-81.533103,3064
Hondros College of Nursing,Westerville,OH,43081,Accrediting Council for Independent Colleges and Schools,40.084407,-82.901039,1963
Casal Aveda Institute,Austintown,OH,44515,National Accrediting Commission of Career Arts and Sciences,41.10196,-80.772812,151
Kent State University at Ashtabula,Ashtabula,OH,44004,North Central Association of Colleges and Schools The Higher Learning Commission,41.888855,-80.8309,2095
Kent State University at East Liverpool,East Liverpool,OH,43920,North Central Association of Colleges and Schools The Higher Learning Commission,40.617264,-80.576918,1168
Kent State University at Stark,Canton,OH,44720-7599,North Central Association of Colleges and Schools The Higher Learning Commission,40.868568,-81.43731,4332
Kent State University at Trumbull,Warren,OH,44483,North Central Association of Colleges and Schools The Higher Learning Commission,41.279153,-80.837363,2485
Kent State University at Tuscarawas,New Philadelphia,OH,44663-9403,North Central Association of Colleges and Schools The Higher Learning Commission,40.467736,-81.407707,1861
Kent State University at Salem,Salem,OH,44460,North Central Association of Colleges and Schools The Higher Learning Commission,40.86408,-80.835458,1565
Kent State University at Kent,Kent,OH,44242-0001,North Central Association of Colleges and Schools The Higher Learning Commission,41.146856,-81.342253,22779
Kent State University at Geauga,Burton,OH,44021,North Central Association of Colleges and Schools The Higher Learning Commission,41.483727,-81.143085,2284
Kenyon College,Gambier,OH,43022,North Central Association of Colleges and Schools The Higher Learning Commission,40.374408,-82.397977,1698
Kettering College,Kettering,OH,45429-1299,North Central Association of Colleges and Schools The Higher Learning Commission,39.694072,-84.191583,632
Lake Erie College,Painesville,OH,44077-3389,North Central Association of Colleges and Schools The Higher Learning Commission,41.717841,-81.251817,788
