,business_id,review_count,stars,name,categories,state,city,address,latitude,longitude,business_id,Morning,Afternoon,Night,Late,tmp,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS,dist,total_checkin
3748386,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Carolinas College of Health Sciences,Charlotte,NC,28203-2861,Southern Association of Colleges and Schools Commission on Colleges,35.200295,-80.838535,469.0,1.86782353464,1347
3747895,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,King's College,Charlotte,NC,28204,Accrediting Council for Independent Colleges and Schools,35.213048,-80.822384,380.0,3.04188889717,1347
3746020,bcCBj67idzZMrjqbsyjEyQ,12,4.0,Dot Dot Dot,"[u'Restaurants', u'Nightlife', u'Bars', u'American (New)', u'Cocktail Bars']",NC,Charlotte,"4237 Park Rd, Unit B",35.174487,-80.8484579,bm5xwrV3cd7a0T0dYZ3c6A,3,460,772,112,1,Queens University of Charlotte,Charlotte,NC,28274-0001,Southern Association of Colleges and Schools Commission on Colleges,35.188929,-80.832227,1551.0,1.35398668484,1347
6810184,vD2ZQzqrg9m9W-eyruyHXg,52,2.5,Starbucks,"[u'Food', u'Coffee & Tea']",NC,Pineville,9007 Pineville Matthews Rd,35.0887623763,-80.8717824715,VxRlBe2wjtycFWSZm1orTA,5,332,523,292,1,DeVry University-North Carolina,Charlotte,NC,28273,North Central Association of Colleges and Schools The Higher Learning Commission,35.13766,-80.931971,308.0,4.79110516075,1152
6805970,vD2ZQzqrg9m9W-eyruyHXg,52,2.5,Starbucks,"[u'Food', u'Coffee & Tea']",NC,Pineville,9007 Pineville Matthews Rd,35.0887623763,-80.8717824715,VxRlBe2wjtycFWSZm1orTA,5,332,523,292,1,Mercy School of Nursing,Charlotte,NC,28203,Accreditation Commission for Education in Nursing,35.132476,-80.904762,49.0,3.54675436333,1152
6809555,vD2ZQzqrg9m9W-eyruyHXg,52,2.5,Starbucks,"[u'Food', u'Coffee & Tea']",NC,Pineville,9007 Pineville Matthews Rd,35.0887623763,-80.8717824715,VxRlBe2wjtycFWSZm1orTA,5,332,523,292,1,Empire Beauty School-Pineville,Charlotte,NC,28226,National Accrediting Commission of Career Arts and Sciences,35.08982,-80.865341,104.0,0.371176319688,1152
6809233,vD2ZQzqrg9m9W-eyruyHXg,52,2.5,Starbucks,"[u'Food', u'Coffee & Tea']",NC,Pineville,9007 Pineville Matthews Rd,35.0887623763,-80.8717824715,VxRlBe2wjtycFWSZm1orTA,5,332,523,292,1,Regency Beauty Institute-Charlotte,Charlotte,NC,28273,,35.138328,-80.931732,29.0,4.81420376793,1152
7504571,88TyKo52CRajXHxWlS5eEQ,173,4.5,Royal Cafe & Creperie,"[u'Restaurants', u'Creperies', u'Breakfast & Brunch', u'Cafes']",NC,Matthews,"131 Matthews Station St, Ste E",35.116789,-80.719317,OE_IDW5w_W97sBcZvq2Img,20,271,411,193,1,Empire Beauty School-Matthews,Matthews,NC,28105,,35.119797,-80.700592,52.0,1.07772637371,895
7508086,88TyKo52CRajXHxWlS5eEQ,173,4.5,Royal Cafe & Creperie,"[u'Restaurants', u'Creperies', u'Breakfast & Brunch', u'Cafes']",NC,Matthews,"131 Matthews Station St, Ste E",35.116789,-80.719317,OE_IDW5w_W97sBcZvq2Img,20,271,411,193,1,Brightwood College-Charlotte,Charlotte,NC,28212,Accrediting Council for Independent Colleges and Schools,35.17702,-80.752731,306.0,4.56652629939,895
4399018,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,Queens University of Charlotte,Charlotte,NC,28274-0001,Southern Association of Colleges and Schools Commission on Colleges,35.188929,-80.832227,1551.0,3.67865847922,656
4398949,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,Central Piedmont Community College,Charlotte,NC,28204,Southern Association of Colleges and Schools Commission on Colleges,35.217774,-80.829796,17922.0,3.85617513869,656
4400893,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,King's College,Charlotte,NC,28204,Accrediting Council for Independent Colleges and Schools,35.213048,-80.822384,380.0,3.34351685451,656
4401384,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,Carolinas College of Health Sciences,Charlotte,NC,28203-2861,Southern Association of Colleges and Schools Commission on Colleges,35.200295,-80.838535,469.0,4.02847973858,656
4401776,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,Charlotte Christian College and Theological Seminary,Charlotte,NC,28205-1648,Transnational Association of Christian Colleges and Schools,35.242999,-80.802527,93.0,3.86631638577,656
4402307,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,Charlotte School of Law,Charlotte,NC,28244,,35.22477,-80.843091,,4.73998949982,656
4402549,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,Brightwood College-Charlotte,Charlotte,NC,28212,Accrediting Council for Independent Colleges and Schools,35.17702,-80.752731,306.0,1.48733532002,656
4402570,cCMyypY73m9GJBKI4RvFcw,10,3.0,Namaste India,"[u'Restaurants', u'Pakistani', u'Indian']",NC,Charlotte,4508 E Independence Blvd,35.194894,-80.767442,GTwQgfi8DN23D9fMURYUdw,8,112,253,283,1,The Hair Design School-Charlotte,Charlotte,NC,28213,National Accrediting Commission of Career Arts and Sciences,35.25855,-80.7837,82.0,4.48977965068,656
4228564,GTBiX2N5-JxXkBc0sF6Sow,12,5.0,Unwind tea and coffee,"[u'Jewelry', u'Food', u'Arts & Entertainment', u'Coffee & Tea', u'Art Galleries', u'Shopping']",NC,Pineville,109 Dover St,35.085341,-80.8915063,pOEL97ld-FJMKO8Ki8JmYg,2,130,211,102,1,DeVry University-North Carolina,Charlotte,NC,28273,North Central Association of Colleges and Schools The Higher Learning Commission,35.13766,-80.931971,308.0,4.2746677081,445
4227935,GTBiX2N5-JxXkBc0sF6Sow,12,5.0,Unwind tea and coffee,"[u'Jewelry', u'Food', u'Arts & Entertainment', u'Coffee & Tea', u'Art Galleries', u'Shopping']",NC,Pineville,109 Dover St,35.085341,-80.8915063,pOEL97ld-FJMKO8Ki8JmYg,2,130,211,102,1,Empire Beauty School-Pineville,Charlotte,NC,28226,National Accrediting Commission of Career Arts and Sciences,35.08982,-80.865341,104.0,1.51028659485,445
4227613,GTBiX2N5-JxXkBc0sF6Sow,12,5.0,Unwind tea and coffee,"[u'Jewelry', u'Food', u'Arts & Entertainment', u'Coffee & Tea', u'Art Galleries', u'Shopping']",NC,Pineville,109 Dover St,35.085341,-80.8915063,pOEL97ld-FJMKO8Ki8JmYg,2,130,211,102,1,Regency Beauty Institute-Charlotte,Charlotte,NC,28273,,35.138328,-80.931732,29.0,4.306572725,445
4224350,GTBiX2N5-JxXkBc0sF6Sow,12,5.0,Unwind tea and coffee,"[u'Jewelry', u'Food', u'Arts & Entertainment', u'Coffee & Tea', u'Art Galleries', u'Shopping']",NC,Pineville,109 Dover St,35.085341,-80.8915063,pOEL97ld-FJMKO8Ki8JmYg,2,130,211,102,1,Mercy School of Nursing,Charlotte,NC,28203,Accreditation Commission for Education in Nursing,35.132476,-80.904762,49.0,3.33946260705,445
7379030,uLaq85HRYcwss7EuHlC4Dw,53,4.0,The Butcher's Market,"[u'Butcher', u'Beer', u'Wine & Spirits', u'Meat Shops', u'Food', u'Grocery', u'Specialty Food']",NC,Charlotte,"8410 Rea Rd, Ste 110",35.053494,-80.811756,ZBHXfX3vK-ck52UBEofV2w,1,39,159,212,1,Empire Beauty School-Pineville,Charlotte,NC,28226,National Accrediting Commission of Career Arts and Sciences,35.08982,-80.865341,104.0,3.93188661294,411
4128810,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Southeastern Institute-Charlotte,Charlotte,NC,28217,Accrediting Commission of Career Schools and Colleges,35.16764,-80.887311,248.0,2.25703787232,396
4125601,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Central Piedmont Community College,Charlotte,NC,28204,Southern Association of Colleges and Schools Commission on Colleges,35.217774,-80.829796,17922.0,3.17975843329,396
4128620,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,ITT Technical Institute-Charlotte South,Charlotte,NC,28217,,35.182074,-80.921103,266.0,4.15304031795,396
4125579,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,The Art Institute of Charlotte,Charlotte,NC,28217-4536,Southern Association of Colleges and Schools Commission on Colleges,35.183009,-80.926992,839.0,4.49098986153,396
4125641,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Mercy School of Nursing,Charlotte,NC,28203,Accreditation Commission for Education in Nursing,35.132476,-80.904762,49.0,4.30435476631,396
4125629,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Johnson C Smith University,Charlotte,NC,28216-5398,Southern Association of Colleges and Schools Commission on Colleges,35.243384,-80.854842,1371.0,4.7897411301,396
4125670,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Queens University of Charlotte,Charlotte,NC,28274-0001,Southern Association of Colleges and Schools Commission on Colleges,35.188929,-80.832227,1551.0,1.35526342637,396
4128959,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Charlotte School of Law,Charlotte,NC,28244,,35.22477,-80.843091,,3.50121282799,396
4128472,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Johnson & Wales University-Charlotte,Charlotte,NC,28202,New England Association of Schools and Colleges Commission on Institutions of Higher Education,35.23294,-80.8509,2218.0,4.05668103557,396
4128036,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Carolinas College of Health Sciences,Charlotte,NC,28203-2861,Southern Association of Colleges and Schools Commission on Colleges,35.200295,-80.838535,469.0,1.87958789394,396
4127545,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,King's College,Charlotte,NC,28204,Accrediting Council for Independent Colleges and Schools,35.213048,-80.822384,380.0,3.04893828053,396
4129293,o5QDrg_kb4hgsWxV6cV_Uw,441,4.0,The Flying Biscuit Cafe - Charlotte,"[u'Soul Food', u'Restaurants', u'Breakfast & Brunch', u'Vegetarian', u'Southern', u'American (New)']",NC,Charlotte,4241 Park Rd,35.1742292692,-80.8481419086,4cWrtMvfj-tomyEPgP7KFg,1,14,239,142,1,Regina's College of Beauty-Charlotte,Charlotte,NC,28208,,35.23618,-80.88412,89.0,4.73456038479,396
1786963,fL5y72k9zaZw8E5qZwG-8w,8,2.5,Creole House on Main,"[u'Restaurants', u'Cajun/Creole']",NC,Cornelius,20517 N Main St,35.487764,-80.858635,da62X2tpj9tF0olWTigjBg,0,100,152,104,1,Davidson College,Davidson,NC,28035,Southern Association of Colleges and Schools Commission on Colleges,35.500006,-80.845236,1779.0,1.1321657535,356
1638718,vn_UN1JnA57hpayj6ETpRQ,38,2.5,IHOP,"[u'American (Traditional)', u'Breakfast & Brunch', u'Restaurants']",NC,Charlotte,230 E Wt Harris Blvd,35.303872,-80.749548,dWwvaWgnfKQ8dFHTSgi_2A,9,182,126,9,1,The Hair Design School-Charlotte,Charlotte,NC,28213,National Accrediting Commission of Career Arts and Sciences,35.25855,-80.7837,82.0,3.6739154645,326
1635152,vn_UN1JnA57hpayj6ETpRQ,38,2.5,IHOP,"[u'American (Traditional)', u'Breakfast & Brunch', u'Restaurants']",NC,Charlotte,230 E Wt Harris Blvd,35.303872,-80.749548,dWwvaWgnfKQ8dFHTSgi_2A,9,182,126,9,1,University of North Carolina at Charlotte,Charlotte,NC,28223-0001,Southern Association of Colleges and Schools Commission on Colleges,35.306834,-80.73579,22686.0,0.801740241448,326
1638253,vn_UN1JnA57hpayj6ETpRQ,38,2.5,IHOP,"[u'American (Traditional)', u'Breakfast & Brunch', u'Restaurants']",NC,Charlotte,230 E Wt Harris Blvd,35.303872,-80.749548,dWwvaWgnfKQ8dFHTSgi_2A,9,182,126,9,1,Empire Beauty School-Concord,Concord,NC,28027,National Accrediting Commission of Career Arts and Sciences,35.364501,-80.713322,84.0,4.65697100151,326
1638543,vn_UN1JnA57hpayj6ETpRQ,38,2.5,IHOP,"[u'American (Traditional)', u'Breakfast & Brunch', u'Restaurants']",NC,Charlotte,230 E Wt Harris Blvd,35.303872,-80.749548,dWwvaWgnfKQ8dFHTSgi_2A,9,182,126,9,1,ITT Technical Institute-Charlotte North,Charlotte,NC,28262,,35.338374,-80.764873,379.0,2.53381779666,326
4881562,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,DeVry University-North Carolina,Charlotte,NC,28273,North Central Association of Colleges and Schools The Higher Learning Commission,35.13766,-80.931971,308.0,2.98258301268,293
4881683,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,University of Phoenix-North Carolina,Charlotte,NC,28273,North Central Association of Colleges and Schools The Higher Learning Commission,35.15266,-80.949341,420.0,2.95815131091,293
4880327,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,ITT Technical Institute-Charlotte South,Charlotte,NC,28217,,35.182074,-80.921103,266.0,1.09210349783,293
4880517,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,Southeastern Institute-Charlotte,Charlotte,NC,28217,Accrediting Commission of Career Schools and Colleges,35.16764,-80.887311,248.0,1.06042384958,293
4881000,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,Regina's College of Beauty-Charlotte,Charlotte,NC,28208,,35.23618,-80.88412,89.0,4.41321961388,293
4879743,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,Carolinas College of Health Sciences,Charlotte,NC,28203-2861,Southern Association of Colleges and Schools Commission on Colleges,35.200295,-80.838535,469.0,4.1132701248,293
4880666,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,Charlotte School of Law,Charlotte,NC,28244,,35.22477,-80.843091,,4.89645729135,293
4880611,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,Regency Beauty Institute-Charlotte,Charlotte,NC,28273,,35.138328,-80.931732,29.0,2.93628401485,293
4877286,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,The Art Institute of Charlotte,Charlotte,NC,28217-4536,Southern Association of Colleges and Schools Commission on Colleges,35.183009,-80.926992,839.0,1.41790555303,293
4877348,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,Mercy School of Nursing,Charlotte,NC,28203,Accreditation Commission for Education in Nursing,35.132476,-80.904762,49.0,2.8948304826,293
4877377,zrEmWr6ue5yfxnKr4E2_jg,27,4.5,Bleu Barn Bistro,"[u'Restaurants', u'Food Trucks', u'Food', u'American (Traditional)']",NC,Charlotte,,35.1743999,-80.9041817,X0siHN0KchBjGKn9QsEAFg,20,26,86,161,1,Queens University of Charlotte,Charlotte,NC,28274-0001,Southern Association of Colleges and Schools Commission on Colleges,35.188929,-80.832227,1551.0,4.18267709609,293
5882793,GAnD6z0ogu84C-Kvwgw_Xg,4,3.5,Quips Cafe,"[u'Sandwiches', u'Restaurants']",NC,Charlotte,"1520 South Blvd, Ste 130",35.214297,-80.8553013,vFylbmcjMRaVxYeDZhnGyw,0,53,162,74,1,Southeastern Institute-Charlotte,Charlotte,NC,28217,Accrediting Commission of Career Schools and Colleges,35.16764,-80.887311,248.0,3.6932377339,289
5882603,GAnD6z0ogu84C-Kvwgw_Xg,4,3.5,Quips Cafe,"[u'Sandwiches', u'Restaurants']",NC,Charlotte,"1520 South Blvd, Ste 130",35.214297,-80.8553013,vFylbmcjMRaVxYeDZhnGyw,0,53,162,74,1,ITT Technical Institute-Charlotte South,Charlotte,NC,28217,,35.182074,-80.921103,266.0,4.32821175967,289
5882455,GAnD6z0ogu84C-Kvwgw_Xg,4,3.5,Quips Cafe,"[u'Sandwiches', u'Restaurants']",NC,Charlotte,"1520 South Blvd, Ste 130",35.214297,-80.8553013,vFylbmcjMRaVxYeDZhnGyw,0,53,162,74,1,Johnson & Wales University-Charlotte,Charlotte,NC,28202,New England Association of Schools and Colleges Commission on Institutions of Higher Education,35.23294,-80.8509,2218.0,1.31092999374,289
